age, gender, distance, stroke, longorshort, metersoryards, aaaa, aaa, aa, a, bb, b
12, boys, 50, FR, SC, Y, 24.59, 25.79, 26.99, 28.09, 30.49, 32.79
12, boys, 100, FR, SC, Y, 53.69, 56.19, 58.79, 1:01.29, 1:06.39, 1:11.49
12, boys, 200, FR, SC, Y, 1:56.99, 2:02.59, 2:08.19, 2:13.69, 2:24.89, 2:35.99
12, boys, 500, FR, SC, Y, 5:14.99, 5:29.99, 5:44.99, 5:59.99, 6:29.99, 6:59.89
12, boys, 1000, FR, SC, Y, 11:02.59, 11:34.19, 12:05.79, 12:37.29, 13:40.39, 14:43.49
12, boys, 1650, FR, SCY, 18:21.49, 19:13.89, 20:06.39, 20:58.79, 22:43.69, 24:28.59
12, boys, 50, BK, SCY, 28.19, 29.69, 31.19, 32.69, 35.59, 38.49
12, boys, 100, BK, SCY, 59.49, 1:02.79, 1:05.99, 1:09.29, 1:15.69, 1:22.19
12, boys, 200, BK, SCY, 2:09.69, 2:15.89, 2:21.99, 2:28.19, 2:40.49, 2:52.89
12, boys, 50, BR, SCY, 31.49, 33.29, 34.99, 36.69, 40.09, 43.49
12, boys, 100, BR, SCY, 1:07.79, 1:11.39, 1:14.89, 1:18.39, 1:25.49, 1:32.59
12, boys, 200, BR, SCY, 2:27.39, 2:34.39, 2:41.39, 2:48.39, 3:02.39, 3:16.49
12, boys, 50, FL, SCY, 26.69, 28.19, 29.69, 31.19, 34.19, 37.09
12, boys, 100, FL, SCY, 59.09, 1:02.49, 1:05.89, 1:09.29, 1:16.09, 1:22.89
12, boys, 200, FL, SCY, 2:12.49, 2:18.89, 2:25.19, 2:31.49, 2:44.09, 2:56.69
12, boys, 100, IM, SCY, 1:01.09, 1:03.99, 1:06.99, 1:09.99, 1:15.89, 1:21.89
12, boys, 200, IM, SCY, 2:12.09, 2:18.79, 2:25.59, 2:32.29, 2:45.79, 2:59.29
12, boys, 400, IM, SCY, 4:43.09, 4:56.49, 5:09.99, 5:23.49, 5:50.49, 6:17.39
12, boys, 50, FR, SCM, 27.19, 28.49, 29.79, 31.09, 33.69, 36.29
12, boys, 100, FR, SCM, 59.29, 1:02.09, 1:04.89, 1:07.69, 1:13.39, 1:18.99
12, boys, 200, FR, SCM, 2:09.29, 2:15.49, 2:21.59, 2:27.79, 2:40.09, 2:52.39
12, boys, 400, FR, SCM, 4:35.59, 4:48.69, 5:01.79, 5:14.99, 5:41.19, 6:07.49
12, boys, 800, FR, SCM, 9:39.79, 10:07.39, 10:34.99, 11:02.59, 11:57.89, 12:53.09
12, boys, 1500, FR, SCM, 18:14.89, 19:06.99, 19:59.09, 20:51.29, 22:35.49, 24:19.79
12, boys, 50, BK, SCM, 31.19, 32.79, 34.49, 36.09, 39.29, 42.59
12, boys, 100, BK, SCM, 1:05.79, 1:09.39, 1:12.89, 1:16.49, 1:23.69, 1:30.79
12, boys, 200, BK, SCM, 2:23.29, 2:30.09, 2:36.89, 2:43.69, 2:57.39, 3:10.99
12, boys, 50, BR, SCM, 34.89, 36.69, 38.59, 40.49, 44.29, 48.09
12, boys, 100, BR, SCM, 1:14.99, 1:18.89, 1:22.79, 1:26.69, 1:34.49, 1:42.29
12, boys, 200, BR, SCM, 2:42.79, 2:50.59, 2:58.29, 3:06.09, 3:21.59, 3:37.09
12, boys, 50, FL, SCM, 29.59, 31.19, 32.79, 34.49, 37.69 40.99
12, boys, 100, FL, SCM, 1:05.29, 1:08.99, 1:12.79, 1:16.49, 1:24.09, 1:31.59
12, boys, 200, FL, SCM, 2:26.49, 2:33.39, 2:40.39, 2:47.39, 3:01.29, 3:15.29
12, boys, 100, IM, SCM, 1:07.49, 1:10.69, 1:13.99, 1:17.29, 1:23.89, 1:30.49
12, boys, 200, IM, SCM, 2:25.99, 2:33.39, 2:40.89, 2:48.29, 3:03.19, 3:18.09
12, boys, 400, IM, SCM, 5:12.79, 5:27.69, 5:42.59, 5:57.49, 6:27.19, 6:56.99
12, boys, 50, FR, LCM, 28.09, 29.39, 30.79, 32.09, 34.79, 37.39
12, boys, 100, FR, LCM, 1:01.59, 1:04.49, 1:07.49, 1:10.39, 1:16.19, 1:22.09
12, boys, 200, FR, LCM, 2:14.39, 2:20.79, 2:27.19, 2:33.59, 2:46.39, 2:59.19
12, boys, 400, FR, LCM, 4:45.89, 4:59.49, 5:13.09, 5:26.69, 5:53.99, 6:21.19
12, boys, 800, FR, LCM, 10:01.89, 10:30.59, 10:59.19, 11:27.89, 12:25.19, 13:22.49
12, boys, 1500, FR, LCM, 19:23.89, 20:19.29, 21:14.69, 22:10.19, 24:00.99, 25:51.79
12, boys, 50, BK, LCM, 32.69, 34.39, 36.09, 37.79, 41.19, 44.59
12, boys, 100, BK, LCM, 1:10.39, 1:14.29, 1:18.09, 1:21.89, 1:29.59, 1:37.19
12, boys, 200, BK, LCM, 2:32.19, 2:39.49, 2:46.69, 2:53.99, 3:08.49, 3:22.99
12, boys, 50, BR, LCM, 36.09, 38.09, 39.99, 41.99, 45.89, 49.79
12, boys, 100, BR, LCM, 1:18.99, 1:23.09, 1:27.19, 1:31.29, 1:39.59, 1:47.79
12, boys, 200, BR, LCM, 2:50.99, 2:59.09, 3:07.19, 3:15.39, 3:31.59, 3:47.89
12, boys, 50, FL, LCM, 30.29, 31.99, 33.59, 35.29, 38.69, 41.99
12, boys, 100, FL, LCM, 1:07.79, 1:11.69, 1:15.59, 1:19.49, 1:27.29, 1:35.09
12, boys, 200, FL, LCM, 2:34.09, 2:41.49, 2:48.79, 2:56.09, 3:10.79, 3:25.49
12, boys, 200, IM, LCM, 2:31.09, 2:38.79, 2:46.49, 2:54.19, 3:09.59, 3:24.99
12, boys, 400, IM, LCM, 5:28.39, 5:44.09, 5:59.69, 6:15.39, 6:46.59, 7:17.89

